Monitor started. Watching C:\Users\Adminb\OneDrive\Documents\Projects\qgan\QINR-QGAN\QGAN-QIREN-2024-MNIST\v5_log.txt
Alert fires if W range < 0.005 over 30 lines spanning >= 2 epochs.
Epoch 439 | last 30 lines: W in [1.8150, 2.0410]  range=0.2260  distinct_epochs=11
Epoch 445 | last 30 lines: W in [1.8040, 2.0410]  range=0.2370  distinct_epochs=10
Epoch 452 | last 30 lines: W in [1.8040, 1.9980]  range=0.1940  distinct_epochs=11
Epoch 458 | last 30 lines: W in [1.8080, 2.0160]  range=0.2080  distinct_epochs=11
Epoch 464 | last 30 lines: W in [1.8080, 2.0750]  range=0.2670  distinct_epochs=10
Epoch 471 | last 30 lines: W in [1.8400, 2.0750]  range=0.2350  distinct_epochs=11
Epoch 477 | last 30 lines: W in [1.8090, 2.0260]  range=0.2170  distinct_epochs=11
Epoch 483 | last 30 lines: W in [1.8090, 2.0300]  range=0.2210  distinct_epochs=11
Epoch 489 | last 30 lines: W in [1.8250, 2.0300]  range=0.2050  distinct_epochs=10
Epoch 496 | last 30 lines: W in [1.8430, 2.0110]  range=0.1680  distinct_epochs=11
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
Epoch 499 | last 30 lines: W in [1.8100, 2.0580]  range=0.2480  distinct_epochs=10
